TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.3
Intersection,Medium,Residential,High,High,Moderate,Day,Clear,20,36.68
Gentle turn,Medium,Highway,High,Moderate,High,Day,Clear,20,37.64
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,27.15
Straight,Medium,City,High,Low,Low,Day,Rain,20,48.59
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,High,Moderate,Night,Clear,20,51.81
Straight,Medium,Highway,High,Moderate,Moderate,Night,Clear,20,42.36
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Narrow,City,High,Low,Low,Day,Clear,20,47.68
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Intersection,,Residential,High,Moderate,Moderate,Night,Clear,20,55.76
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Day,Clear,20,48.38
Straight,Narrow,Residential,High,Low,Low,Day,Clear,20,42.65
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Sharp turn,Medium,Residential,Low,Low,Low,Night,Rain,20,161.92
Gentle turn,Medium,Residential,Low,Low,Low,Day,Clear,20,56.22
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Narrow,Residential,High,Low,Moderate,Day,Clear,20,39.12
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Intersection,Medium,Highway,High,Low,Moderate,Day,Rain,20,40.87
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Residential,High,Low,High,Night,Clear,20,56.82
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,20,45.62
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Intersection,Medium,Residential,High,Low,Low,Night,Clear,20,59.87
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,26.55
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Straight,Wide,Residential,High,Low,Moderate,Day,Clear,20,32.44
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Residential,High,Moderate,Moderate,Night,Rain,20,69.21
Straight,Medium,Residential,High,Low,Moderate,Night,Rain,20,62.18
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Narrow,Highway,Low,Moderate,Moderate,Night,Rain,20,187.71
Intersection,Medium,Residential,High,High,Moderate,Day,Clear,20,36.68
Gentle turn,Medium,Highway,High,High,Moderate,Night,Clear,20,52.98
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.3
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Rain,20,122.02
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,Highway,Low,Low,Low,Day,Clear,20,57.64
Intersection,Medium,Highway,High,Low,Low,Day,Rain,20,49.08
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Low,Day,,20,33.82
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,,Highway,Low,Moderate,Moderate,Night,Clear,20,75.83
Straight,,Highway,Low,Low,Low,Night,Rain,20,124.12
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,High,Low,Moderate,Night,,20,53.43
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Rain,20,68.49
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,,Residential,High,Moderate,Low,Night,Clear,20,55.06
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Straight,,Highway,High,Low,Moderate,Night,Clear,20,38.24
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Wide,Residential,High,Low,Moderate,Day,Clear,20,35.74
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Wide,Highway,Low,Low,Moderate,Night,Clear,20,101.56
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Intersection,Narrow,Highway,High,Moderate,Moderate,Day,Clear,20,44.64
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Narrow,Highway,High,Moderate,Moderate,Day,Clear,20,36.7
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Rain,20,122.02
Sharp turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.32
Straight,Narrow,Residential,High,Low,Low,Day,Clear,20,42.65
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Sharp turn,Medium,Highway,High,Low,Low,Day,Rain,20,49.11
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Narrow,Residential,Low,Low,Moderate,Night,Clear,20,108.71
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,City,Low,Low,Moderate,Night,Clear,20,99.31
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Residential,High,Moderate,Moderate,Night,Clear,20,55.49
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,High,Low,Moderate,Night,Clear,20,49.85
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Narrow,Residential,High,Low,Moderate,Day,Clear,20,35.51
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,City,Low,Low,Low,Night,Clear,20,98.05
Straight,Medium,Residential,High,Moderate,Moderate,Night,Clear,20,45.62
Straight,Narrow,Residential,High,Low,Low,Day,Clear,20,42.65
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Rain,20,135.82
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Rain,20,149.99
Straight,Medium,Highway,Low,Low,Low,Day,Clear,20,47.39
Gentle turn,Narrow,City,High,Low,Low,Night,Clear,20,90.24
Straight,Narrow,Highway,High,Low,Moderate,Day,Clear,20,32.97
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Intersection,Narrow,Residential,High,Low,Moderate,Night,Clear,20,74.22
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Wide,Highway,High,Low,Low,Night,Rain,20,94.29
Straight,Narrow,Highway,High,Moderate,Low,Day,Clear,20,44.07
Intersection,Wide,Highway,Low,Moderate,Moderate,Night,Clear,20,124.84
Intersection,Wide,Highway,High,High,Moderate,Night,Clear,20,79.58
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Wide,Highway,High,Moderate,Moderate,Day,Clear,20,33.53
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Straight,Wide,Highway,Low,Moderate,Moderate,Night,Clear,20,102.64
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,20,32.37
Gentle turn,Narrow,Highway,Low,Moderate,Moderate,Day,Rain,20,109.25
Straight,Wide,Highway,High,Low,Low,Day,Rain,20,54.88
Gentle turn,Narrow,Highway,Low,Low,Moderate,Day,unknown,20,69.34
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Sharp turn,Medium,Highway,High,Moderate,Low,Day,Clear,20,36.03
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,,20,38.92
Sharp turn,Medium,Residential,High,Low,Low,Day,Clear,20,34.87
Straight,Wide,Highway,High,Low,Moderate,Day,Clear,20,30.12
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,City,High,Low,Low,Day,Clear,20,38.96
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,Low,Low,Low,Night,unknown,20,87.26
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Narrow,Highway,High,Low,Low,Day,Rain,20,60.07
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,20,29.61
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Sharp turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,30.0
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Sharp turn,Medium,Highway,Low,Moderate,Moderate,Day,Rain,20,81.09
Intersection,Medium,Residential,High,Low,Moderate,Day,Rain,20,44.02
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Straight,Medium,Residential,High,Low,Moderate,Night,Clear,20,40.99
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,20,32.37
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,,Residential,High,Low,Low,Day,Rain,20,43.67
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Intersection,Medium,Residential,Low,Low,Moderate,Night,Clear,20,88.82
Gentle turn,Medium,Residential,High,Moderate,Low,Day,Clear,20,35.12
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Rain,20,135.82
Intersection,Medium,Residential,High,Low,Moderate,Day,Fogg,20,46.07
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Low,Low,Day,Rain,20,40.35
Gentle turn,Medium,Highway,Low,Moderate,Low,Night,Clear,20,99.82
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Sharp turn,Medium,Residential,Low,Low,Moderate,Day,Rain,20,78.47
Sharp turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,91.84
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,20,36.31
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,20,29.61
Sharp turn,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,91.84
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Straight,Medium,Highway,Low,Low,Moderate,Day,Clear,20,39.46
Straight,Medium,Residential,Low,Low,Moderate,Day,Fogg,20,67.49
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Low,Night,Clear,20,50.34
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Moderate,Day,,20,25.57
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Residential,High,Low,Low,Day,,20,30.71
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,Clear,20,43.46
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Sharp turn,Medium,Residential,Low,Moderate,Moderate,Night,unknown,20,106.03
Gentle turn,Narrow,Residential,High,Low,Moderate,Day,Clear,20,39.12
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Residential,High,Low,Moderate,Day,,20,28.16
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,Low,Low,Low,Day,Rain,20,77.43
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,Clear,20,43.46
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Sharp turn,Medium,Highway,High,Low,Low,Day,Clear,20,32.37
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,20,67.79
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Highway,Low,Low,High,Night,Clear,20,114.31
Intersection,Narrow,Highway,Low,Low,Moderate,Night,Clear,20,122.76
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,,Residential,High,Moderate,Moderate,Day,Rain,20,49.24
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
